externalJobKey,title,companyName,jobType,category,category2,category3,industry,locationCity,locationState,locationCountry,description,coreResponsibilities,requirements,benefits,salaryMin,salaryMax,salaryUnit,experienceLevel,skills,keywords,applyUrl
JOB-001,CDL Class A Driver,Fast Trucking,Full-time,Driving,Transport,,Trucking,Chicago,IL,USA,Long haul driver needed,Drive routes,CDL required,Health ins,70000,90000,year,Mid-level,"CDL,freight","trucking,driver",
JOB-002,Fleet Dispatcher,Metro Logistics,Contract,Dispatch,,,Logistics,Atlanta,GA,USA,Manage schedules,Schedule routes,2+ years dispatch,PTO,55000,65000,year,Entry,"dispatch,routing","logistics",https://example.com/apply
JOB-003,Warehouse Associate,Big Storage,Full-time,Warehouse,,,Warehousing,Dallas,TX,USA,Warehouse ops,Pack and ship,Forklift cert,Benefits,35000,45000,year,Entry,"forklift,packing","warehouse",https://lanelogicjobs.com/apply
,Missing Title,SomeCo,Full-time,Driving,,,Trucking,Denver,CO,USA,Missing key,,CDL required,,50000,60000,year,,,
JOB-005,,SomeCo,Full-time,Driving,,,Trucking,Denver,CO,USA,No title,,CDL required,,50000,60000,year,,,
JOB-006,Bad Salary Job,SomeCo,Full-time,Driving,,,Trucking,Denver,CO,USA,Job desc,,Requirements,,abc,60000,year,,,
JOB-007,Good Job,GoodCo,Full-time,Driving,,,Trucking,Denver,CO,USA,Job desc,,Requirements,,50000,60000,year,,,,not-a-url
JOB-008,Another Good Job,GoodCo,Full-time,Driving,OTR,,Trucking,Houston,TX,USA,Job desc,Some duties,Requirements,Medical,60000,80000,year,Senior,"CDL,OTR","trucking",
JOB-009,Inverted Salary,SomeCo,Full-time,Driving,,,Trucking,Denver,CO,USA,Job desc,,Requirements,,90000,50000,year,,,
JOB-010,Final Good Job,LastCo,Part-time,Mechanic,,,Auto,Miami,FL,USA,Mechanic needed,Fix trucks,ASE cert,Dental,40000,55000,year,Mid,"ASE,mechanic","auto repair",https://external-jobs.com/apply
