externalJobKey,title,companyName,jobType,category,category2,category3,industry,locationCity,locationState,locationCountry,description,coreResponsibilities,requirements,benefits,salaryMin,salaryMax,salaryUnit,experienceLevel,skills,keywords,applyUrl
VER-001,CDL Class A Driver,Fast Freight Co,Full-time,Driving,Transport,,Trucking,Chicago,IL,USA,Drive long-haul routes across the Midwest,Deliver freight on time,Valid CDL Class A license required,Health and dental,65000,85000,year,Mid-level,"CDL,freight","trucking,driver",https://lanelogicjobs.com/apply/ver001
VER-002,Tanker Driver,PetroHaul Inc,Full-time,Tanker,Hazmat,,Oil & Gas,Houston,TX,USA,Transport fuel and chemicals via tanker,Safe tanker operations,Tanker endorsement and HAZMAT cert,401k matching,70000,95000,year,Senior,"tanker,hazmat","fuel,chemical",https://external-trucking.com/apply/ver002
VER-003,Flatbed Operator,SteelMove LLC,Full-time,Flatbed,,,Construction,Pittsburgh,PA,USA,Haul oversized loads on flatbed trailers,Load securing and route planning,Flatbed experience 2+ years,Paid time off,60000,80000,year,Mid-level,"flatbed,securing","construction,steel",
VER-004,Owner Operator,IndieHaul,Contract,Owner-Operator,,,Logistics,Dallas,TX,USA,Independent contractor hauling opportunities,Manage own routes and schedule,Own truck and insurance required,Fuel discounts,80000,120000,year,Senior,"owner-op,business","independent,contractor",https://indiehavl.com/signup
VER-005,Local Delivery Driver,QuickShip,Part-time,Local,,,Delivery,Portland,OR,USA,Same-day delivery within metro area,Package pickup and delivery,Clean driving record,Flexible hours,35000,45000,year,Entry,"delivery,local","metro,packages",https://lanelogic.com/apply/ver005
VER-006,OTR Team Driver,CrossCountry Express,Full-time,OTR,,,Freight,Nashville,TN,USA,Team driving coast to coast,Share driving duties with partner,1 year OTR experience,Per diem,75000,100000,year,Mid-level,"OTR,team","coast-to-coast,freight",https://crosscountry.example.com/apply
VER-007,Fleet Dispatcher,LogiTrack Systems,Full-time,Dispatcher,,,Technology,Atlanta,GA,USA,Coordinate fleet movements and optimize routes,Real-time fleet monitoring,Dispatch software proficiency,Remote work,55000,70000,year,Mid-level,"dispatch,routing","fleet,logistics",https://logitrack.example.com/careers
VER-008,Diesel Mechanic,TruckFix Pro,Full-time,Mechanic,,,Maintenance,Denver,CO,USA,Diagnose and repair diesel engines,Engine overhauls and inspections,ASE diesel certification,Tool allowance,50000,65000,year,Mid-level,"diesel,ASE","mechanic,repair",https://truckfix.example.com/jobs
VER-009,Missing Description Job,TestCorp,Full-time,Warehouse,,,Warehousing,Phoenix,AZ,USA,,Warehouse tasks,Must lift 50 lbs,Benefits,30000,40000,year,Entry,"lifting,packing","warehouse",
VER-010,Missing Requirements Job,TestCorp,Full-time,Warehouse,,,Warehousing,Seattle,WA,USA,Warehouse receiving and stocking,Receive shipments,,,32000,42000,year,Entry,"receiving,inventory","warehouse,stocking",
